Variety Name,Varitey Number,Replication,Year,IDC_Score_1,IDC_Score_2,IDC_Score_3,SPAD_1,SPAD_2
PI054591,1,1,2014,3,3,4,8,7
PI054608_1,2,1,2014,4,5,5,6,5
PI054854,3,1,2014,2,3,3,8,9
PI062202,4,1,2014,1,2,1,21,25
PI065388,5,1,2014,1,2,2,23,24
PI068685,6,1,2014,1,2,1,19,22
PI068788,7,1,2014,2,3,2,16,13
PI068815,8,1,2014,1,2,2,23,23
PI070241,9,1,2014,2,2,2,30,21
PI070463,10,1,2014,2,2,2,26,24
PI071161,11,1,2014,3,2,2,23,23
PI072232,12,1,2014,2,2,2,28,20
PI079586,13,1,2014,2,2,2,24,26
PI079593,14,1,2014,2,2,2,22,20
PI079648,15,1,2014,2,2,2,29,25
PI079691_4,16,1,2014,1,2,1,21,24
PI079694,17,1,2014,2,3,2,17,15
PI079727,18,1,2014,1,2,2,28,22
PI079756,19,1,2014,1,1,1,24,22
PI079870_1,20,1,2014,2,2,2,29,24
PI080459,21,1,2014,2,3,3,18,15
PI080461,22,1,2014,1,2,2,10,19
PI080469,23,1,2014,2,2,2,24,25
PI080831,24,1,2014,2,3,2,12,12
PI081044_2,25,1,2014,2,4,3,10,9
PI081667,26,1,2014,2,2,3,14,13
PI081763,27,1,2014,2,2,2,27,22
PI081765,28,1,2014,2,2,2,17,20
PI081766,29,1,2014,3,4,5,12,4
PI081767,30,1,2014,2,3,2,13,14
PI081768,31,1,2014,2,2,2,27,20
PI081770,32,1,2014,2,3,2,16,14
PI081771,33,1,2014,1,1,1,26,23
PI081773,34,1,2014,2,2,1,22,23
PI082278,35,1,2014,2,3,3,14,15
PI084611,36,1,2014,2,2,1,25,23
PI084921,37,1,2014,2,1,1,32,25
PI084973,38,1,2014,4,2,2,14,23
PI085009_1,39,1,2014,2,3,2,19,13
PI085356,40,1,2014,2,3,3,11,10
PI086002,41,1,2014,2,2,2,26,21
PI086006,42,1,2014,2,1,1,24,23
PI086046,43,1,2014,2,2,2,23,22
PI086081,44,1,2014,2,2,2,22,24
PI086145,45,1,2014,1,1,1,27,23
PI086449,46,1,2014,2,4,3,8,16
PI086452,47,1,2014,3,3,3,12,13
PI087600_1,48,1,2014,2,2,1,26,23
PI087618,49,1,2014,2,2,1,24,22
PI087631_1,50,1,2014,1,2,1,30,27
PI087634,51,1,2014,2,4,3,14,8
