Variety Name,Variety Number,Replication,Year,IDC_Score_1,IDC-Score_2,IDC_Score_3,SPAD1,SPAD2
PI054591,1,4,2015,2,3,3,18.7,12
PI054608_1,2,4,2015,4,5,5,8,6
PI054854,3,4,2015,1,1,1,32.2,25
PI062202,4,4,2015,1,1,1,24.3,26
PI065388,5,4,2015,1,1,1,22,24
PI068685,6,4,2015,1,1,1,20.8,23
PI068788,7,4,2015,1,1,1,28.6,27
PI068815,8,4,2015,1,1,1,25.5,26
PI070241,9,4,2015,1,1,1,22,24
PI070463,10,4,2015,1,1,1,23.5,26
PI071161,11,4,2015,2,1,1,19.5,20
PI072232,12,4,2015,1,1,1,23.6,26
PI079586,13,4,2015,1,1,1,23.9,24
PI079593,14,4,2015,1,1,1,21.1,25
PI079648,15,4,2015,1,1,1,28.9,26
PI079691_4,16,4,2015,1,1,1,27,26
PI079694,17,4,2015,1,1,1,31.2,24
PI079727,18,4,2015,1,1,1,24.1,25
PI079756,19,4,2015,1,1,1,22,23
PI079870_1,20,4,2015,1,1,1,20.4,28
PI080459,21,4,2015,1,1,1,26.4,24
PI080461,22,4,2015,1,1,1,29.2,25
PI080469,23,4,2015,3,3,3,13,11
PI080831,24,4,2015,2,1,1,19,18
PI081044_2,25,4,2015,1,1,1,23.2,22
PI081667,26,4,2015,1,1,1,28,24
PI081763,27,4,2015,1,1,1,23,25
PI081765,28,4,2015,1,1,1,29.6,26
PI081766,29,4,2015,1,1,1,22.7,24
PI081767,30,4,2015,1,1,1,30.2,28
PI081768,31,4,2015,1,1,1,25.5,29
PI081770,32,4,2015,1,1,1,31.2,25
PI081771,33,4,2015,1,1,1,30.5,26
PI081773,34,4,2015,1,1,1,23.7,24
PI082278,35,4,2015,1,1,1,25.6,28
PI084611,36,4,2015,1,1,1,22.3,26
PI084921,37,4,2015,1,1,1,31.2,26
PI084973,38,4,2015,1,1,1,24.3,24
PI085009_1,39,4,2015,1,1,1,21.2,25
PI085356,40,4,2015,1,1,1,31,26
PI086002,41,4,2015,1,1,1,25.2,23
