Variety Name,Country,Maturity Group
PI054591,China,I
PI054608_1,China,I
PI054854,China,I
PI062202,China,I
PI065388,Unknown,I
PI068685,Unknown,I
PI068788,China,I
PI068815,China,I
PI070241,China,I
PI070463,China,I
PI071161,Unknown,I
PI072232,China,I
PI079586,China,I
PI079593,Poland,I
PI079648,France,I
PI079691_4,Belgium,I
PI079694,Belgium,I
PI079727,Japan,I
PI079756,China,I
PI079870_1,France,I
PI080459,France,I
PI080461,France,I
PI080469,Japan,I
PI080831,Japan,I
PI081044_2,China,I
PI081667,Iran,I
PI081763,China,I
PI081765,China,I
PI081766,China,I
PI081767,Hungary,I
PI081768,China,I
PI081770,China,I
PI081771,China,I
PI081773,China,I
PI082278,China,I
PI084611,China,I
PI084921,Hungary,I
PI084973,Romania,I
PI085009_1,Germany,I
PI085356,Austria,I
PI086002,Russia,I
PI086006,France,I
PI086046,Russia,I
PI086081,Japan,I
PI086145,Eastern Europe,I
PI086449,Yugoslavia,I
PI086452,Russia,I
PI087600_1,Russia,I
PI087618,Russia,I
PI087631_1,Russia,I
PI087634,Russia,I
PI088289,Russia,I
PI088292,Russia,I
PI088294_1,Russia,I
PI088295,Russia,I
PI088305,Russia,I
PI088306,Russia,I
PI088497,China,I
PI088788,China,I
PI089003_1,China,I
PI089008,China,I
PI089060,China,I
PI089130,China,I
PI089134,China,I
PI089152,China,I
PI089153,China,I
PI089154,China,I
PI089156,China,I
PI089773,China,I
PI090392,China,I
PI091091,Japan,I
PI091102,France,I
PI091120_3,Germany,I
PI091162,China,I
PI091341,China,I
PI091349,China,I
PI091559,China,I
PI091725_3,China,I
PI091733,China,I
PI092465,China,I
PI092603,Moldova,I
PI092611,Ukraine,I
PI092683,China,I
PI092706,China,I
PI096162,Japan,I
PI096199,Japan,I
PI096322,North Korea,I
PI096786_1,Georgia,I
PI131531,China,I
PI135589,Russia,I
PI135590,Russia,I
PI153229,China,I
PI153250,Japan,I
PI153280,Japan,I
PI153282,China,I
PI157421,Japan,I
PI167240,Russia,I
PI171450,China,I
PI173994,China,I
PI181536,China,I
PI181537,China,I
PI189916,China,I
PI189919,Japan,I
PI189930,China,I
PI189941,China,I
PI189958,Russia,I
PI189969,Russia,I
PI196149,Russia,I
PI196150,China,I
PI200478,China,I
PI200548,China,I
PI205085,China,I
PI205087,China,I
PI227212,China,I
PI227325,China,I
PI227558,China,I
PI229336,China,I
PI232987,China,I
PI232988,China,I
PI232989,Russia,I
PI232990,Russia,I
PI232992,Russia,I
PI248509A,Japan,I
PI250844,Japan,I
PI253650A,Japan,I
PI253651C,Japan,I
PI253652C,China,I
PI253653D,China,I
PI253658A,Russia,I
PI253660B,Ukraine,I
PI261466,China,I
PI261474,North Korea,I
PI266806A,China,I
PI290149,China,I
PI291274B,China,I
PI291275,China,I
PI291277,China,I
PI291278,China,I
PI291309C,China,I
PI297538,China,I
PI323586B,China,I
PI326579,China,I
PI326580,China,I
PI339868E,China,I
PI361080,China,I
PI361090,China,I
PI361101,China,I
PI378663,China,II
PI378679,China,II
PI379559D,China,II
PI379561,China,II
PI391577,Unknown,II
PI391586,China,II
PI398813,China,II
PI398881,China,II
PI401418,China,II
PI404160B,Unknown,II
PI404166,China,II
PI404169B,China,II
PI407653,China,II
PI407656,China,II
PI407659A,China,II
PI407746,Unknown,II
PI407810,Unknown,II
PI416762,Unknown,II
PI416773,Japan,II
PI416835,China,II
PI416868A,Unknown,II
PI417054,China,II
PI417091,North Korea,II
PI417138,North Korea,II
PI417139,North Korea,II
PI417167,China,II
PI417198,Unknown,II
PI417297,China,II
PI417513B,Unknown,II
PI417517,Russia,II
PI417559,China,II
PI423870,China,II
PI424005,China,II
PI424078,Unknown,II
PI430596,China,II
PI430597,China,II
PI430619,France,II
PI437091,Japan,II
PI437098,France,II
PI437116,France,II
PI437121B,Japan,II
PI437122,Japan,II
PI437124,China,II
PI437145B,China,II
PI437156C,China,II
PI437165A,China,II
PI437174B,China,II
PI437340B,China,II
PI437345,China,II
PI437356,Portugal,II
PI437377,Russia,II
PI437399,China,II
PI437425,China,II
PI437427B,China,II
PI437462A,Japan,II
PI437477A,Japan,II
PI437509,Japan,II
PI437519,Japan,II
PI437558,Japan,II
PI437581,Japan,II
PI437585,China,II
PI437592,China,II
PI437594A,Russia,II
PI437651B,Russia,II
PI437656,Russia,II
PI437662,Russia,II
PI437663,Russia,II
PI437674,Russia,II
PI437682A,Russia,II
PI437690,Russia,II
PI437715,Russia,II
PI437716A,China,II
PI437733,China,II
PI437738B,China,II
PI437757,China,II
PI437786,China,II
PI437803,China,II
PI437840A,China,II
PI437846,China,II
PI437935,China,II
PI437944,China,II
PI437949,China,II
PI437950,China,II
PI437964A,China,II
PI437973,China,II
PI438031,China,II
PI438094B,China,II
PI438103,China,II
PI438133B,China,II
PI438139,China,II
PI438152,China,II
PI438173,China,II
PI438194,Morocco,II
PI438218,United States,II
PI438259B,China,II
PI438292,China,II
PI438312,China,II
PI438376,China,II
PI438434,China,II
PI438503A,China,II
PI445819,China,II
PI445845,China,II
PI458052,China,II
PI458061A,China,II
PI458110,China,II
PI458307A,China,II
PI458506,China,II
PI458507,Japan,II
PI458517,China,II
PI458519A,China,II
PI458520,China,II
PI458521,China,II
PI458522,Uzbekistan,II
PI458825B,Vietnam,II
PI461509,China,II
PI464877,China,II
PI464878,China,II
PI464880,China,II
PI464884,China,II
PI464914B,Taiwan,II
PI464915A,Taiwan,II
PI467307,Japan,II
PI467310,Japan,II
PI467311A,Japan,II
PI467312,Taiwan,II
PI467324,China,II
PI467327,Japan,II
PI467328,China,II
PI467332,Japan,II
PI467334B,Japan,II
PI468381,Japan,II
PI468384,China,II
PI468385,China,II
PI468907,China,II
PI468914,Japan,II
PI468919,Japan,II
PI470223,China,II
PI470227B,China,II
PI471899,China,II
PI475810,China,II
PI475811B,China,II
PI475818,China,II
PI475820,China,II
PI475822B,China,II
PI476344,China,II
PI476345,Japan,II
PI476348,Japan,II
PI476911,Japan,II
PI479711,China,II
PI479713,China,II
PI479718B,China,II
PI479719,China,II
PI479724A,China,II
PI479729,China,II
PI479738,China,II
PI479740,China,II
PI483459,China,II
PI504485,China,II
PI504490,Russia,II
PI504497,Russia,II
PI506527,Russia,II
PI506528,China,II
PI506529,China,II
PI506634,China,II
PI506678,China,II
PI506800B,China,II
PI506887,China,II
PI507027,China,II
PI507147,China,II
PI507171,China,II
PI507195,China,II
PI507267,Unknown,III
PI507487,China,III
PI507491,China,III
PI507717,Unknown,III
PI512322C,Japan,III
PI518283,Unknown,III
PI518706A,China,III
PI518757,Unknown,III
PI522188A,Unknown,III
PI524994,China,III
PI532456,South Korea,III
PI532462A,South Korea,III
PI532472,Japan,III
PI538377,Japan,III
PI538389,Unknown,III
PI538393,Japan,III
PI538400,Japan,III
PI538403,Japan,III
PI538410B,Unknown,III
PI540739,Japan,III
PI547430,Unknown,III
PI548316,North Korea,III
PI548329,Unknown,III
PI548336,Unknown,III
PI548349,China,III
PI548373,China,III
PI548533,China,III
PI549021A,China,III
PI549031,China,III
PI549041A,Unknown,III
PI549056,North Korea,III
PI549064,Unknown,III
PI561230,China,III
PI561232,China,III
PI561315,Unknown,III
PI561333,Unknown,III
PI561346,China,III
PI561348,China,III
PI561349,Unknown,III
PI561377,North Korea,III
PI562387,Unknown,III
PI567154,South Korea,III
PI567159A,Turkey,III
PI567161,Japan,III
PI567163,South Korea,III
PI567170A,France,III
PI567170B,Japan,III
PI567214B,Japan,III
PI567229A,Japan,III
PI567241,Japan,III
PI567250B,Japan,III
PI567255A,Japan,III
PI567261B,Japan,III
PI567262D,China,III
PI567264A,China,III
PI567266A,Japan,III
PI567267A,South Korea,III
PI567275,Korea,III
PI567277,Japan,III
PI567278,Japan,III
PI567351A,China,III
PI567365,South Korea,III
PI567417B,South Korea,III
PI567538B,Georgia,III
PI567583A,China,III
PI567595A,China,III
PI567619,China,III
PI567644,China,III
PI567729,South Korea,III
PI567774B,Japan,III
PI574478B,Japan,III
PI574480B,Japan,III
PI578360,Japan,III
PI578362,Japan,III
PI578363,Japan,III
PI578364,Poland,III
PI578366,South Korea,III
PI578367,South Korea,III
PI578374,China,III
PI578375B,Georgia,III
PI578376,Russia,III
PI578380A,China,III
PI578382,China,III
PI578384,China,III
PI578385,Algeria,III
PI578386,China,III
PI578416,South Korea,III
PI578439,South Korea,III
PI578473A,South Korea,III
PI578474,South Korea,III
PI578499A,China,III
PI578499B,China,III
PI588008A,China,III
PI592907C,China,III
PI592908,China,III
PI592910,China,III
PI592911B,China,III
PI592912A,China,III
PI592913,China,III
PI593970,China,III
PI593982,Indonesia,III
PI594156,China,III
PI594170B,China,III
PI594296,China,III
PI594394,China,III
PI594457A,Japan,III
PI594471A,Japan,III
PI594898,Japan,III
PI594902,Japan,III
PI597397A,Japan,III
PI597405B,Japan,III
PI597482,Japan,III
PI602497A,Japan,III
PI603151A,Japan,III
PI603334,Japan,III
PI603335B,Taiwan,III
PI603337A,China,III
PI603339A,China,III
PI603367,Japan,III
PI603371,China,III
PI603412B,North Korea,III
PI603422B,China,III
PI603424C,China,III
PI603426F,China,III
PI603428D,China,III
PI603438E,China,III
PI603442,China,III
PI603444A,China,III
PI603452,China,III
PI603470,China,III
PI603546A,China,III
PI603560,China,III
PI603587A,China,III
PI603594,China,III
PI603596,China,III
PI603655,China,III
PI603660,Vietnam,III
PI603662B,China,III
PI603674,China,III
PI603704A,Japan,III
PI603747,China,III
PI603749,China,III
PI603912,China,III
PI603915C,South Korea,III
PI612611,China,III
PI612711B,China,III
PI612752,China,III
PI612754,China,III
PI612759C,China,III
